Eil. Nr.,Data,Laikas,Avarinė vietos adresas, Pranešėjas,Avarinės vietos aprašymas (kas įvyko),Avarinės tarnybos atlikti darbai,Atžyma apie darbų pabaigą. Data,Atžyma apie darbų pabaigą. Laikas.
28,2016/02/14,15:10,S.Batoro g. link miesto priešai Pūčkorių ,(Pastebėta pravažiuojant).,Skiriamojoje žal. juostoje vilkiko priekabos lentos fragmentas.,Paimtas ir išvežtas.,2016/02/14,15:24
29,2016/02/14,15:35,Titnago g. už 50m  link Dubliškių g.,VPK,"Važ. dalyje žibintų šukės, nulūžusių medžio šakų liekanos.",Žibintų šukės ir medžio šakų liekanos surinktos ir išvežtos.,2016/02/14,15:55
30,2016/02/14,16:04,Titnago g. prie išvažiavimo į Gariūnų g.,(Pastebėta pravažiuojant).,Skiriamojoje salelėje palenktas kelio ženklas.,Kelio žeklas atstatytas į vietą.,2016/02/14,16:19
31,2016/02/14,16:19,Gedimino pr. ,BPC ,Brie bromos iš šulinio veržiasi nuotekos.,Informacija perduota.,,
32,2016/02/14,16:40,Laisvės pr. važiuojant  link Pašilaičių po Architektų g. viaduku,BPC ,Žal. vejoje praviras šulinys.,LN tinklų šulinys uždengtas nustumtu g/b dangčiu.,2016/02/14,17:00
33,2016/02/14,16:55,Stadiono g. 5 link Liepkalnio g.                        ,(Pastebėta pravažiuojant).,Važ. dalyje stiklo taros duženos.,Stiklo taros duženos surrinktos ir išvežtos.,2016/02/14,17:15
34,2016/02/14,17:15,Skersinės g./     Santariškių g. sankrž prie miško,VPK,Važ. dalyje žibintų šukės.,Žibintų šukės surinktos ir išvežtos.,2016/02/14,17:35
35,2016/02/14,17:45,"Santariškių g. link žiedo ,,Muzikų"" autobusų sust.",(Pastebėta pravažiuojant).,Ant šaligatvio nuversta betoninė       šiukšlių dėžė.,Betoninė šiukšlių dėžė pastatyta į vietą.,2016/02/14,18:00
36,2016/02/14,18:20,Geležinio Vilko g. važiuojant link miesto prie Noragiškių g.,(Pastebėta pravažiuojant).,Važ. gatvės dalyje rato gaubtas.,Rato gaubtas paimtas ir išvežtas.,2016/02/14,18:30
37,2016/02/14,18:45,Naugarduko g. 50,BPC ,Važ. gatvės dalyje nulūžusi medžio šaka.,Nulūžusi medžio šaka paimta ir išvežta.,2016/02/14,19:05
38,2016/02/14,19:10,"Centrinių Vilniaus gatvių apvažiavimas UAB ,,Grinda"" direktoriaus įsakymas Nr. V 269",,Dėl tvarkos mieste užtikrinimo švenčių metu ir savaitgaliais.,"Šventaragio g., Jogailos g., Vrublevskio g., Užupio g., Gedimino pr., Pilies g., Vokiečių g. patikrintos, iš perpildytų šiukšliadėžių surinktas ir išvežtasvienas maišas šiukšlių.",2016/02/14,20:40
39,2016/02/14,19:25,Gedimino pr. 40,(Pastebėta pravažiuojant).,Važ. gatvės dalyje grindinio ištrupiejusių trinkelių liekanos.,Ištrupiejusių trinkelių liekanos surinktos ir išvežtos.,,
40,2016/02/14,19:40,Savanorių pr. 176       link centro ,BPC ,Važ. dalyje kelio ženklo padas.,Savanorių pr. 178 aptikta numušta vertikali gairė. Žiurėti įrašą (2016.02.12). Vertikali gairė pastatyta į vietą.,2016/02/14,20:00
41,2016/02/14,20:15,Naugarduko g. 29,(Pastebėta pravažiuojant).,Važ. gatvės dalyje išstumtas buitinių atliekų konteineris.,Buitinių atliekų konteineris nustumtas ant šaligatvio į vietą.,2016/02/14,20:25
42,2016/02/14,21:35,"Bukčių g. prie namų     Nr. 8 ir Nr. 11 link ,,Ratilių "" autobusų stot.",BPC ,Važ. gatvės dalyje išmestas šiukšlių konteineris.,"Nurodytu adresu aptikta nuversta smėlio dėžė, pastatyta į vietą.",2016/02/14,21:55
43,2016/02/14,22:10,Minsko pl. važiuojant nuo miesto už dėgalinės,VPK,Važ. dalyje avarinės duobės.,"Minsko pl. važiuojant nuo PC ,,MAXIMA"" iki Vilniaus miesto ribos avarinės duobės laikinai užtaisytos frezuotu asfaltu, panaudota (0,5m³). Informacija perduota.",,
44,2016/02/14,22:20,Savanorių pr. 178,BPC ,Važ. dalyje atviras šulinys.,Nurodytu adresu aptikta numušta vertikali gairė. Žiurėti įrašą (2016.02.12). Vertikali gairė pastatyta į vietą.,2016/02/14,22:35
45,2016/02/15,0.017361,Liepkalnio g. 24,(Pastebėta pravažiuojant).,Važ. gatvės dalyje praviras LN šulinys.,"LN trapo plastmasinės (50x38cm)seno tipo grotelės įstatytos į korpusą, laikosi tvirtai.",2016/02/15,
46,2016/02/15,04:45,Kauno g. 5,(Pastebėta pravažiuojant).,Ant šaligatvio nuversta betoninė       šiukšlių dėžė.,Betoninė šiukšlių dėžė pastatyta į vietą.,2016/02/15,04:55
47,2016/02/15,06:15,Savanorių pr. žiedas,(Pastebėta pravažiuojant).,Važ. gatvės dalyje prie požeminės perėjos rato gaubts.,Rato gaubtas paimtas ir išvežtas.,2016/02/15,06:20
