Eil. Nr.,Data,Laikas,Avarinė vietos adresas, Pranešėjas,Avarinės vietos aprašymas (kas įvyko),Avarinės tarnybos atlikti darbai,Atžyma apie darbų pabaigą. Data,Atžyma apie darbų pabaigą. Laikas.
22,2016/03/07,14:33,Tūkstantmečio g. / Vilkpėdės g.,,"Plastiko fragmentai ir smulkių metalinių detalių liekanos išbarstyti gatvės važiuojamoje dalyje
[pastebėta važiuojant]","Surinkta ir išvežta, vieta išvalyta",2016/03/07,14:45
23,2016/03/07,14:57,Smolensko g. 5,,"Ratlankio gaubto liekanos važiuojamoje gatvės dalyje
[pastebėta važiuojant]","Surinktos ir išvežtos, vieta išvalyta",2016/03/07,15:03
24,2016/03/07,15:10,Architektų g. 66,Gyventojas,Užsikimšęs LN tinklų trapas prie pirmos laiptinės,Informacija perduota,,
25,2016/03/07,15:15,Erfurto g. 23,,Užsikimšęs LN tinklų trapas mokyklos teritorijoje,Informacija perduota,,
26,2016/03/07,15:30,Rygos g. 26,,"Buitinės šiukšlės važiuojamoje gatvės dalyje
[pastebėta važiuojant]","Surinktos ir išvežtos, vieta išvalyta",2016/03/07,15:44
27,2016/03/07,15:53,Taikos g. 146,,"Važiuojamoje gatvės dalyje išmėtytos kartoninės dėžės liekanos
[pastebėta važiuojant]",Surinkta ir išvežta,2016/03/07,16:03
28,2016/03/07,16:08,Laisvės pr. 78B,VV Nuotekų tinklų avarinė,Atviri 4 šuliniai tarp garažų ir statomo namo,Nurodytu adresu atvirų šulinių nerasta. Su kontaktinių asmeniu susisiekti nepavyko.,2016/03/07,16:40
29,2016/03/07,16:49,Verkių g. 43,,"Sudraskyto elektros kabelio fragmentas gatvės važiuojamoje dalyje
[pastebėta važiuojant]",Paimta ir išvežta,2016/03/07,16:55
30,2016/03/07,17:13,Lakūnų g. 31,,"Tepaluotas skuduras važiuojamoje gatvės dalyje
[pastebėta važiuojant]",paimta ir išvežta,2016/03/07,17:18
31,2016/03/07,17:40,Nemenčinės pl. 38,VPK,Kliūtis gatvės važiuojamoje dalyje,Betoninio gaminio nuolauža - paimta ir išvežta,2016/03/07,18:08
32,2016/03/07,18:08,Antakalnio g. 12,BPC,Atviras šulinys važiuojamoje gatvės dalyje,"FN tinklų šulinys Nr. 50a uždengtas tuo pačiu dangčiu. Šulinio korpusas skylęs, reikalingas remontas.",,
33,2016/03/07,18:22,Žolyno g. 26,,"Padanga gatvės kelkraštyje
[pastebėta važiuojant]",Paimta ir išvežta (1 vnt.),2016/03/07,18:28
34,2016/03/07,18:37,V. Grybo g. 3,,"Automobilio žibintų duženos važiuojamoje gatvės dalyje
[pastebėta važiuojant]","Surinkta ir išvežta, vieta išvalyta",2016/03/07,18:50
35,2016/03/07,19:02,Lazdynų g. 8,BPC,Atviras šulinys žaliosios vejos zonoje,Šilumos tinklų šulinio dangtis nustumtas. Šulinys uždengtas tuo pačiu dangčiu.,2016/03/07,19:25
36,2016/03/07,19:40,Filaretų g. 33,,"Plastmasinio vamzdžio fragmentas gatvės važiuojamoje dalyje
[pastebėta važiuojant]",Paimta ir išvežta,2016/03/07,19:45
37,2016/03/07,20:04,Antakalnio g. 78,Gyventojas,Užsikimšęs LN tinklų trapas kieme,Informacija perduota,,
38,2016/03/07,20:30,S. Stanevičiaus g. 96-5,Olga,"Pranešė, kad nori perduoti sudaužyto buitinio termometro su gyvsidabriu liekanas",Paimtas 1 (vienas) buitinis termometras su gyvsidabriu ir perduotas utilizavimui,2016/03/07,20:50
39,2016/03/07,21:14,Viršuliškių g. 30A,,"Buitinės šiukšlės važiuojamoje gatvės dalyje
[pastebėta važiuojant]","Surinktos ir išvežtos, vieta išvalyta",2016/03/07,21:30
40,2016/03/07,21:42,Drujos g. 2,,"Akmuo važiuojamoje gatvės dalyje
[pastebėta važiuojant]",Paimta ir išvežta,2016/03/07,21:48
41,2016/03/07,22:12,Polocko g. 50,BPC,Atviras šulinys važiuojamoje gatvės dalyje,Nurodytu adresu atviro šulinio nerasta.,2016/03/07,22:40
42,2016/03/07,22:52,Pelesos g. 3,,"Metalinės tvirtinimo juostos fragmentas gatvės važiuojamoje dalyje
[pastebėta važiuojant]",Paimta ir išvežta,2016/03/07,22:57
43,2016/03/07,23:10,Elektrinės g. 8,,"Betono gaminių duženos gatvės kelkraštyje
[pastebėta važiuojant]",Surinkta ir išvežta,2016/03/07,23:25
44,2016/03/07,23:43,Ukmergės g. 369,BPC,Negyvas gyvūnas važiuojamoje gatvės dalyje,Nurodytu adresu negyvo gyvūno nerasta,2016/03/08,0.016667
45,2016/03/08,0.034722,Buivydiškių g. / Ozo g.,,"Automobilinių grotelių fragmentai gatvės važiuojamoje dalyje
[pastebėta važiuojant]",Surinkta ir išvežta,2016/03/08,0.041667
46,2016/03/08,05:43,Ateities g. / Baltupio g.,VPK,Automobilio žibintų duženos ir plastiko liekanos važiuojamoje gatvės dalyje,"Surinkta ir išvežta, vieta išvalyta",2016/03/08,06:10
