Eil. Nr.,Data,Laikas,Avarinė vietos adresas, Pranešėjas,Avarinės vietos aprašymas (kas įvyko),Avarinės tarnybos atlikti darbai,Atžyma apie darbų pabaigą. Data,Atžyma apie darbų pabaigą. Laikas.
26,2016/03/10,14:34,Žirmūnų g.111B,A. Visockas,"Aptverti ""STOP"" juosta pavojingas vietas statybietėje.","Sukalti kuoliukai ir aptverta ""STOP"" juosta kur pavojingiausios vietos.",2016/03/10,17:00
27,2016/03/10,15:45,G. Vilko/Žalgirio sankr.,BPC,Šaligatvyje atviras šulinys.,Uždengtas tuo pačiu G/B dangčiu.,2016/03/10,16:25
28,2016/03/10,16:19,Vytenio g.23,BPC,Važ. kiemo dalyje iškilęs trapas.,Trapo korpusas išvalytas grotelės įstatytos į vieta.,2016/03/10,16:49
29,2016/03/10,16:49,Turgelių g.6,Mindaugas,Praviras šulinys važ. dalyje.,Šulinio korpusas išvalytas dangtis atstatytas į vieta.,2016/03/10,17:30
30,2016/03/10,17:25,Rinktinės g.35,BPC,Šiukšlių konteineris išstumtas į gatvės važ. dalį ir apverstas.,šiukšlės surinktos konteineris atstatytas į vieta.,2016/03/10,18:20
31,2016/03/10,17:40,Savanorių pr.72,112,"Šiukšlės buitinės, statybinės važiuojamoje gatvės dalyje iškritusios.","Surinktos, išvežtos gatvė išvalyta.",2016/03/10,18:10
32,2016/03/10,18:05,Pravažiavus tilta Neries važ.link Gariūnų. ,Patrulis policijos,Polistirolo gabalai važ. dalyje.,"Surinkti, išvežti.",2016/03/10,18:50
33,2016/03/10,18:30,G. Vilko g.,BPC,Važiuojant link tunelio iškritęs metalo konstrukcijos gabalas.,Važiuojant link tunelio ir už jo nerasta.,2016/03/10,
34,2016/03/10,18:55,Buivydiškių /Laisvės pr. sankr.,Policija,Autoįvykis.,"Duženos surinktos, išvežtos.",2016/03/10,19:55
35,2016/03/10,19:25,Vileišio g.15,BPC,Atviras šulinys važ. dalyje.,Nuvykus ir pravažiavus gatvę atviro šulinio nerasta.,2016/03/10,
36,2016/03/10,19:45,Gabijos g.2B,Kristina,Atviras šulinys žaliojoje vejoje ant kampo prie namo.,Uždengtas nauju G/b dangčiu,2016/03/10,20:30
37,2016/03/10,20:35,Viršuliškių g.30,BPC,Važ. gatvės dalyje ir šaligatvyje politileniniai maišai su šiukšlėmis.,"Surinkti, išvežti.",2016/03/10,21:10
38,2016/03/10,21:05,Lvovo g.63,BPC,Šaligatvyje negyvas katinas.,Nuvykus į vieta negyvo katino nerasta.,2016/03/10,
39,2016/03/10,22:02,Baltupio g.22,Policija,"Duženos plastiko, stiklo važ. dalyje.","Surinktos, išvežtos gatvė išvalyta.",2016/03/10,23:15
40,2016/03/10,23:40,Kareivių/ Žirmūnų g. sankr.,Algirdas,Kartoninės dėžės  važ. dalyje iškritusios.,"Surinktos, išvežtos.",2016/03/11,0.020833
41,2016/03/11,0.097222,Kalinausko/Pylimo g. sankr.,Policija,Duženos po autoįvykio.,"Duženos surinktos, išvežtos.",2016/03/11,03:10
