Eil. Nr.,Data,Laikas,Avarinė vietos adresas, Pranešėjas,Avarinės vietos aprašymas (kas įvyko),Avarinės tarnybos atlikti darbai,Atžyma apie darbų pabaigą. Data,Atžyma apie darbų pabaigą. Laikas.
12,2016/02/26,10:10,Pedagoginio Universiteto žiedas prie upės,,"Pastatytų bonų patikrinimas,              (žiųrėti įrašą: 2016.02.23)","Pastatyti bonai patikrinti, veikia tvarkingai.",2016/02/26,10:50
13,2016/02/26,10:30,L. Giros g. kylant į kalną link BGKT,(Pastebėta pravažiuojant),Važ. gatvės dalyje nulūžusi medžio šaka.,Nulūžusi medžio šaka patraukta nuo važ. dalies.,2016/02/26,10:40
14,2016/02/26,10:50,Žiuprionių g. ,(Pastebėta pravažiuojant),"Ant šaligatvio vienas šulinys pilnas vanndens, prie kito susmegę šaligatvio plytelės. Nustatyta, kad šuliniai priklauso TEO tinklams. ",Informacija perduota.,,
15,2016/02/26,11:10,Laisvės pr. įvažiavimas link namo  Nr. 65A,Audrius Mičėlis,Važ. dalyje formuojasi avarinės duobės.,"Nurodytu adresu besiformuojančiasias duobės laikinai užpiltos frezuotu asfaltu, panaudota (0,2m³). Informacija perduota.",,
16,2016/02/26,11:25,"Justiniškių g.               link Taikos g. tarp troleibusų sust. ,,Medeinos"" ir ,,Sūduvių""",BPC ,Skiriamojoje žal. vejoje praviras šulinys.,"Nustatyta, kad šulinys priklauso LN tinklams. Šulinys uždengtas nustumtu g/b dangčiu.",2016/02/26,11:45
17,2016/02/26,11:50,Skydo g. 43,Marian,Kiemo važ. dalyje atviras šulinys.,"Nustatyta, kad šulinys priklauso LN tinklams. Senas g/b dangtis sulaužytas. Uždėtas naujas g/b dangtis. Pastatyta signalinė tvorelė. Įrašas žurnale.",,
18,2016/02/26,12:00,Mildos g. 17,VPK,Važ. dalyje negyvas gyvunėlis.,Negyvas šuo paimtas ir nuvežtas į BGKT.,2016/02/26,12:55
19,2016/02/26,12:20,Didlaukio g. 46 leidžiantis link          namo Nr. 48,Danguolė Baltrušaitienė,Ant šaligatvio prie kanalizacijos šulinio formuojasi duobė.,"Nustatyta, kad šulinys priklauso LN tinklams. Pastatyta signalinė tvorelė. Įrašas žurnale.",,
20,2016/02/26,12:35,Paberžės g. 6A,Laima Salatkienė,Žal. vejoje praviras šulinys.,LN šulinys uždengtas tuo pačiu nustumtu g/b dangčiu.,2016/02/26,13:00
21,2016/02/26,12:55,Granito g. gale prie apsisukimo žiedo,VVT disp.,Važ. dalyje avarinės duobės.,Nurodytu adresu aptiktos didelės duobės. Reikalingas kelio dangos remontas. Informacija perduota.,,
22,2016/02/26,13:15,Šeškinės g. ant tilto virš Ukmergės g.,(Pastebėta pravažiuojant),Važ. gatvės dalyje rato gaubto duženos.,Rato gaubto duženos surinktos ir išvežtos.,2016/02/26,13:30
23,201602.26,13:40,Dubingių g. 49,Jankunienė,Termometras su gyvsidabriu.,Termometras su gyvsidabriu paimtas ir nuvežtas utilizavimui.,2016/02/26,14:05
24,2016/02/26,13:54,"Granito g. priešais ,,LUKOIL"" dėgalinės įvažiuojant ant žiedo",(Pastebėta pravažiuojant),"Važ. gatvės dalyje plastmasinio bamperio duženos, stiklų šukės.",Plastmasinio bamperio duženos ir stiklų šukės surinktos ir išvežtos.,2016/02/26,14:15
25,2016/02/26,14:10,Mickevičiaus g. priešais ambasados,A.Vilūnas,Važ. gatvės dalyje ilda šulinio dangtis.,Mickevičiaus g. 7 aptiktas FN šulinio bildantis dangtis. Padėtos sandarios gumos. Informacija perduota.,,
26,2016/02/26,14:25,Galvės g. link miesto,(Pastebėta pravažiuojant),Kelkraštyje medinio tašo nuolaužos.,Medinės nuolaužos surinktos ir išvežtos.,2016/02/26,14:35
27,2016/02/26,14:39,Žolyno g. 10,Priešgaisrinė tarnyba,Paimti ir nuvežti utilizavimui surinktą gyvsidabrį.,Surinktas gyvsidabris su įteiktais gaisrininkų dokumentais paimtas ir nuvežtas utilizavimui.,2016/02/26,15:20
28,2016/02/26,15:04,Milašiaus g. prie Europos dviračių tako,BPC ,Žal. vejoje atviras šulinys.,"Nustatyta, kad šulinys priklauso LN tinklams. Šulinys uždengtas nuju g/b dangčiu.",,16:04
29,2016/02/26,15:20,Rokantiškių g./Pupojų g. sankrž.,BPC ,Važ. dalyje pribarstyta skaldos.,Skaldos liekanos surinktos ir išvežtos.,2016/02/26,15:45
30,2016/02/26,15:49,Ateities g. įvažiuojant į Visorių g. ,VPK,Važ. dalyje žibintų duženos.,Žibintų duženos surinktos ir išvežtos.,2016/02/26,16:15
31,2016/02/26,16:10,Šilo g. 29,(Pastebėta pravažiuojant),Ant šaligatvio formuojasi smegduobė.,Pastatyta signalinė tvorelė. Informacija perduota.,,
32,2016/02/26,16:25,Ateities g. po Geležinio Vilko g. viaduku ,(Pastebėta pravažiuojant),Žal. vejoje lengvojo automobilio padanga.,Padanga paimta ir išvežta.,2016/02/26,16:34
33,2016/02/26,16:45,Ateities g. 1E,VPK,"Iš automobilio MAZDA, tranz. Nr. 33597 išsiliejęs aušinimo skystis.","išsiliejęs iš automobilio aušinimo skystis neutralizuotas, panaudota sauso serbento (5 kg).",2016/02/26,17:10
34,2016/02/26,17:05,Drujos g./Krivulės g. sankirt.,BPC ,Važ. dalyje plytų duženos.,Plytų duženos surinktos ir išvežtos.,2016/02/26,17:25
35,2016/02/26,17:35,Žiuprionių g. 4,,Laikinųjų kelio ženklų patikrinimas.  Žiūrėti įrašą (2016.02.08).,"Remonto darbai atlikti, vertikali gairė paimta.",2016/02/26,17:45
36,2016/02/26,17:50,Konarskio g./ Pietario g. sankrž.,VPK,Prie skiriamosios salelės ant pesčiųjų perėjos žibintų šukės.,Žibintų šukės surinktos ir išvežtos.,2016/02/26,18:15
37,2016/02/26,18:10,Stadiono g. 9,Vytautas Kavoliukas,"Važ. dalyje formuojasi įgriuva, į duobė įstatytos medžio šakos.","Nustatyta, kad įgriuva formuojasi virš praeinančios FN trasos. Įgriuva laikinai užpilta frezuotu asfaltu, panaudota (0,15m³). Pastatyta vertikali gairė.        Informacija perduota.",,
38,2016/02/26,18:25,Savanorių pr./     Žemaitės g. sankrž.,,Laikinųjų kelio ženklų patikrinimas.  Žiūrėti įrašą (2016.02.23).,"Remonto darbai atlikti, dvi vertikalios gairės paimtos.",2016/02/26,18:35
39,2016/02/26,18:45,Gelvonų g. 33,BPC ,"Žal. vejoje iš automobilio OPEL,       valst. Nr. ECS 967 išteka benzinas.",Nurodytu adresu aptikti dirbantys prišgaisrinės tarnybos  du ekipažai.,2016/02/26,19:15
40,2016/02/26,19:25,Šeškinės g.  link Ukmergės g. ,(Pastebėta pravažiuojant),Važ. gatvės dalyje stiklų duženos.,Stiklų duženos surinktos ir išvežtos.,2016/02/26,19:40
41,2016/02/26,20:30,Bukčių g. už 500m nuo Lazdynų ligoninės link miško ,BPC ,Važ. dalyje guli suolas.,"Nurodytu adresu aptiktas sulaužytas medinis ženklas     ,,Bukčių regioninis parkas"", paliktas žal. vejoje. Informacija perduota.",,
42,2016/02/26,21:25,"Lentvario g. važiuojant nuo Lentvario prieš upę link ,,IKI"" bazės",BPC ,"Važ. dalyje avarinė duobė. Automobilis  SEAT valst. Nr. HHO 599 sugadino padangą, laukia policijos ekipažą.","Nurodytu adresu avarinė duobė (40x90x8cm) laikinai užtaisyta šaltu asfaltu, panaudota (30 kg). Autoįvykį užfiksavo policijos ekipažas. Informacija perduota.",,
43,2016/02/26,23:10,"Kauno g. troleibusų sust. ,,Sparta"" važiuojant nuo stoties",(Pastebėta pravažiuojant),Važ. gatvės dalyje stiklo taros duženos.,Stiklų duženos surinktos ir išvežtos.,2016/02/26,23:25
44,2016/02/27,02:35,"Geležinio Vilko g./  Žalgirio g. sankrž. netoli PC ,,RIMI""",BPC ,"Atoįvykis. Automobilis TOYOTA COROLLA, valst. Nr. ENU 048 atsitrenkė į šaligatvio bortą.",Plastmasinės duženos po autoįvykio surinktos ir išvežtos. Skiriamojoje žal. vejoje numuštos dvi sėkcijos apsauginių pesčiųjų tvorelių. Informacija perduota.,,
45,2016/02/27,05:50,Tūkstantmečio g.  link Savanorių pr. žiedo,(Pastebėta pravažiuojant),Įvažiuojant ant žiedo prie borto rato gaubto duženos.,Rato gaubto duženos surinktos ir išvežtos.,2016/02/27,06:05
