Eil. Nr.,Data,Laikas,Avarinė vietos adresas, Pranešėjas,Avarinės vietos aprašymas (kas įvyko),Avarinės tarnybos atlikti darbai,Atžyma apie darbų pabaigą. Data,Atžyma apie darbų pabaigą. Laikas.
31,2016/03/01,17:40,"Nemenčinės pl. 7 prie ,,ORLEAN"" dėgalinės",VPK,Autoįvykis. Važ. dalyje plastmasinės duženos.,Plastmasinės duženos surinktos ir išvežtos.,2016/03/01,18:15
32,2016/03/01,17:55,Saulėtekio al. 15,BPC ,Važ. dalyje praviras šulinys.,"LN trapo plastmasinės seno tipo grotelės įstatytos į korpusą, laikosi tvirtai.",2016/03/01,18:35
33,2016/03/01,18:10,       Liepkalnio g. link Dzūkų g.,Vladislav,Prie skiriamosios salelės            plastmasių duženos.,Plastmasinės duženos surinktos ir išvežtos.,2016/03/01,18:30
34,2016/03/01,18:40,Dzūkų g./Tyzenhauzų g. sankrž.,(Pastebėta pravažiuojant),Važ. gatvės dalyje bildantys              šulinio dangtis.,"Nustatyta, kad šulinys priklauso FN tinklams. Šulinio dangtis įstatytas į korpusą, laikosi tvirtai.",2016/03/01,18:55
35,2016/03/01,19:15,"Džiaugsmo g. autobusų sust. ,,Grigaičiai""",BPC ,Važ. dalyje plytų duženos.,Plytų duženos surinktos ir išvežtos.,2016/03/01,19:45
36,2016/03/01,19:50,Juodasis kelias prie posūkio link Subačius g.,VPK,Važ. gatvės dalyje žibintų šukės. ,Žiintų šukės surinktos ir išvežtos.,2016/03/01,20:40
37,2016/03/01,20:05,Džiaugsmo g./Grūdų g. sankrž.,(Pastebėta pravažiuojant),Ant šaligatvio automobilio padanga.,Padanga paimta ir išvežta.,2016/03/01,20:15
38,2016/03/01,21:00,Subočiaus g. 116,(Pastebėta pravažiuojant),"Prie pesčiųjų perėjos paliktas PC ,,MAXIMA"" met. vežimėlis.",Metalinis vežimėlis nustumtas prie parduotuvės.,2016/03/01,21:10
39,2016/03/01,21:30,Geležinkelio g./Šv. Stepono sankirt.,VPK,Važ. dalyje plastmasinio bamperio nuolaužos.,Plastmasinės nuolaužos surinktos ir išvežtos.,2016/03/01,21:45
40,2016/03/01,22:15,Jeruzalės g. sukant į Rugių g.,BPC ,Važ. dalyje prie žal. vejos praviras šulinys.,"Nustatyta, kad šulinys priklauso LN tinklams. LN trapo įstattytos į korpusą, laikosi tvirtai.",2016/03/01,22:35
41,2016/03/01,22:45,"Jeruzalės g. prie ,,EMSI"" dėgalinės",(Pastebėta pravažiuojant),Skiriamojoje žal. vejoje lengvojo automobilio padanga.,Padanga paimta ir išvežta.,2016/03/01,22:55
42,2016/03/01,23:15,"Kalvarijų g. autobusų sust. ,,Tauragnų"" ",(Pastebėta pravažiuojant),Ant šaligatvio nuversta betoninė šikšlių dėžė.,Betoninė šiukšlių dėžė pastatyta į vietą.,2016/03/01,23:25
43,2016/03/02,0.024306,Naugarduko g. 29,BPC ,Važ. dalyje išstumtas buitinių atliekų konteineris.,Butinių atliekų konteineris nustumtas į vietą.,2016/03/02,0.034722
44,2016/03/02,02:30,Laisvės pr. važiuojant link Pašilaičių po pesčiųjų tiltu,(Pastebėta pravažiuojant),  Žal. vejoje lengvojo automobilio padangos (2 vnt.),Padangos paimtos ir išvežtos.,2016/03/02,02:40
45,2016/03/02,05:50,Goštauto g. po viaduku link Baltojo tilto,(Pastebėta pravažiuojant),Važ. dalyje žibintų šukės.,Žibintų šukės surinktos ir išvežtos.,2016/03/02,06:10
